shapeid,partid,x,y
"0","0",577520.365786965,5825893.62088095
"0","0",577536.649464619,5825905.78354464
"0","0",577542.742552365,5825897.66950749
"0","0",577526.465637523,5825885.50693123
"0","0",577520.365786965,5825893.62088095
"1","0",577564.092560834,5825925.84449947
"1","0",577575.416887089,5825931.04185642
"1","0",577579.010807016,5825923.24422005
"1","0",577567.693241945,5825918.0469625
"1","0",577564.092560834,5825925.84449947
"2","0",577443.250479253,5825913.63726673
"2","0",577443.332282329,5825937.13581873
"2","0",577500.416546108,5825936.95026388
"2","0",577500.341616852,5825913.46293866
"2","0",577443.250479253,5825913.63726673
"3","0",577545.290649517,5825917.76938759
"3","0",577538.55516195,5825919.80977883
"3","0",577510.114568675,5825945.54836781
"3","0",577505.41690284,5825953.71794634
"3","0",577513.938632629,5825986.48446094
"3","0",577527.229285915,5825993.76000256
"3","0",577561.056910691,5825932.2046764
"3","0",577550.052813154,5825920.49283154
"3","0",577545.290649517,5825917.76938759
"4","0",577558.773554007,5825980.85407892
"4","0",577572.126418197,5825987.19618025
"4","0",577586.155982316,5825957.73574192
"4","0",577574.356817685,5825952.14142602
"4","0",577553.098092712,5825956.24320102
"4","0",577548.372658433,5825966.1590188
"4","0",577558.773554007,5825980.85407892
"5","0",577820.864973139,5825978.18869918
"5","0",577814.948345961,5825979.45182914
"5","0",577817.383572103,5825990.81647636
"5","0",577823.293410484,5825989.55324156
"5","0",577820.864973139,5825978.18869918
"6","0",577818.639904964,5825991.93791395
"6","0",577820.647451096,5826013.98747304
"6","0",577831.663236683,5826012.99467987
"6","0",577829.655916615,5825990.93399303
"6","0",577818.639904964,5825991.93791395
"7","0",577903.950839322,5826039.90209808
"7","0",577915.589228893,5826040.66614121
"7","0",577924.586451196,5826037.04911093
"7","0",577925.290378163,5826026.47986486
"7","0",577901.99338004,5826024.94031401
"7","0",577901.289503419,5826035.50956295
"7","0",577903.950839322,5826039.90209808
"8","0",577918.319064201,5826059.46745969
"8","0",577935.266172806,5826059.68202159
"8","0",577935.388895155,5826049.86005142
"8","0",577918.441752492,5826049.64548942
"8","0",577918.319064201,5826059.46745969
"9","0",577919.853351936,5826096.71825861
"9","0",577933.771404223,5826096.89565622
"9","0",577933.932360425,5826083.82561249
"9","0",577920.014270917,5826083.64821478
"9","0",577919.853351936,5826096.71825861
"10","0",577857.431271604,5826212.13091761
"10","0",577864.412095813,5826212.54251711
"10","0",577864.615558491,5826209.13019199
"10","0",577857.634729409,5826208.71859225
"10","0",577857.431271604,5826212.13091761
"11","0",577815.710737739,5826219.76621211
"11","0",577815.09372385,5826230.42585931
"11","0",577829.434753255,5826231.25498987
"11","0",577830.051798418,5826220.59534418
"11","0",577815.710737739,5826219.76621211
"12","0",577897.823868057,5826304.40518847
"12","0",577885.765497088,5826303.6678556
"12","0",577879.323182522,5826306.04620978
"12","0",577878.510497027,5826319.19487604
"12","0",577896.845209854,5826320.31036319
"12","0",577897.823868057,5826304.40518847
"13","0",577873.490102527,5826322.93097048
"13","0",577874.526336852,5826307.66087102
"13","0",577861.595889971,5826306.78732043
"13","0",577854.077397013,5826311.20680353
"13","0",577853.376828986,5826321.57585204
"13","0",577873.490102527,5826322.93097048
"14","0",577927.64711896,5826307.99579276
"14","0",577919.429544457,5826307.37524612
"14","0",577911.403324463,5826309.20540199
"14","0",577910.492037885,5826321.30668425
"14","0",577926.555023971,5826322.50845168
"14","0",577927.64711896,5826307.99579276
"15","0",577869.719722294,5826337.11169784
"15","0",577864.219345567,5826329.71452774
"15","0",577854.69286666,5826328.72834183
"15","0",577855.616825351,5826351.98449233
"15","0",577868.909260428,5826352.67466198
"15","0",577869.719722294,5826337.11169784
"16","0",577919.250265577,5826341.14979753
"16","0",577902.32867645,5826340.24588431
"16","0",577901.819059841,5826349.68341974
"16","0",577906.566189798,5826356.71260704
"16","0",577918.382110622,5826357.34599859
"16","0",577919.250265577,5826341.14979753
"17","0",577893.804308023,5826343.57008714
"17","0",577882.184306584,5826342.97325486
"17","0",577874.110537558,5826352.04549558
"17","0",577873.571297242,5826362.49499278
