shapeid,partid,x,y
"0","0",577727.401258249,5825842.68244795
"0","0",577736.05494746,5825843.63222938
"0","0",577735.476981235,5825848.8632003
"0","0",577745.84234955,5825850.00710452
"0","0",577746.420503716,5825844.76501193
"0","0",577738.815517683,5825843.93202054
"0","0",577740.241470476,5825830.98223718
"0","0",577728.833957059,5825829.7327693
"0","0",577727.401258249,5825842.68244795
"0","1",577725.351468429,5825876.538461
"0","1",577736.421717728,5825878.10520266
"0","1",577740.040591774,5825852.56272605
"0","1",577728.970285277,5825850.99597677
"0","1",577725.351468429,5825876.538461
"0","2",577713.78484891,5825884.87677082
"0","2",577714.498376254,5825896.26961354
"0","2",577733.216537431,5825895.10979184
"0","2",577732.502876457,5825883.72806881
"0","2",577713.78484891,5825884.87677082
"0","3",577752.108957636,5825892.7957498
"0","3",577752.415145303,5825902.94717817
"0","3",577778.101545027,5825902.16538968
"0","3",577777.864058164,5825894.29031747
"0","3",577800.547105757,5825890.80732069
"0","3",577790.485897927,5825877.79710861
"0","3",577774.031528446,5825880.22767465
"0","3",577777.850051482,5825892.01229617
"0","3",577752.108957636,5825892.7957498
"0","4",577542.742552365,5825897.66950749
"0","4",577526.465637523,5825885.50693123
"0","4",577520.365786965,5825893.62088095
"0","4",577536.649464619,5825905.78354464
"0","4",577542.742552365,5825897.66950749
"0","5",577711.253106595,5825902.15909399
"0","5",577711.495226676,5825909.95087001
"0","5",577720.620127793,5825909.67619023
"0","5",577720.788650457,5825915.41667036
"0","5",577734.763841809,5825915.01586512
"0","5",577734.425345213,5825903.484349
"0","5",577720.027036456,5825903.89728948
"0","5",577719.966625403,5825901.8971093
"0","5",577711.253106595,5825902.15909399
"0","6",577722.490416026,5825923.05364672
"0","6",577722.128912535,5825918.50864952
"0","6",577713.327214719,5825919.20312647
"0","6",577713.688549455,5825923.75924575
"0","6",577722.490416026,5825923.05364672
"0","7",577579.010807016,5825923.24422005
"0","7",577567.693241945,5825918.0469625
"0","7",577564.092560834,5825925.84449947
"0","7",577575.416887089,5825931.04185642
"0","7",577579.010807016,5825923.24422005
"0","8",577443.250479253,5825913.63726673
"0","8",577443.332282329,5825937.13581873
"0","8",577500.416546108,5825936.95026388
"0","8",577500.341616852,5825913.46293866
"0","8",577443.250479253,5825913.63726673
"0","9",577628.628967035,5825931.85327644
"0","9",577633.140349896,5825933.29337545
"0","9",577635.165946472,5825926.95057516
"0","9",577630.654381582,5825925.52159714
"0","9",577631.859934339,5825921.73578667
"0","9",577626.431248105,5825920.01410687
"0","9",577620.761217567,5825937.75840915
"0","9",577626.196661626,5825939.48019047
"0","9",577628.628967035,5825931.85327644
"0","10",577740.365826022,5825927.99954105
"0","10",577739.803252796,5825922.46116478
"0","10",577724.772965272,5825924.00224131
"0","10",577726.939434606,5825945.07058155
"0","10",577718.342228839,5825945.66168391
"0","10",577718.711150339,5825951.01896853
"0","10",577727.253538136,5825950.43163528
"0","10",577726.975163276,5825946.38911936
"0","10",577737.942597319,5825945.27245363
"0","10",577736.211156228,5825928.42299253
"0","10",577740.365826022,5825927.99954105
"0","11",577505.41690284,5825953.71794634
"0","11",577525.095762815,5825963.33102313
"0","11",577526.970701116,5825960.06758325
"0","11",577533.682777305,5825963.34484309
"0","11",577535.73188299,5825959.7837779
"0","11",577543.230912178,5825963.44067902
"0","11",577561.056910691,5825932.2046764
"0","11",577547.501871921,5825924.92485206
"0","11",577550.052813154,5825920.49283154
"0","11",577545.290649517,5825917.76938759
"0","11",577542.739711344,5825922.20141055
"0","11",577538.55516195,5825919.80977883
"0","11",577532.825296389,5825929.80980836
"0","11",577545.298132235,5825936.95004159
"0","11",577533.721125425,5825957.08173833
"0","11",577510.114568675,5825945.54836781
"0","11",577505.41690284,5825953.71794634
"0","12",577805.143558177,5825950.34689543
"0","12",577789.396745293,5825924.94125332
"0","12",577770.648554758,5825936.51395393
"0","12",577776.133482314,5825945.3459578
"0","12",577783.313830556,5825940.90983851
"0","12",577793.582533899,5825957.48353916
"0","12",577805.143558177,5825950.34689543
"0","13",577658.558753739,5825958.75201474
"0","13",577659.927685196,5825948.94985271
"0","13",577684.158283957,5825952.3276766
"0","13",577684.684865582,5825948.62009219
"0","13",577690.622463307,5825949.44875244
"0","13",577691.470588413,5825943.42102703
"0","13",577685.526207508,5825942.59225814
"0","13",577686.259783173,5825937.37488091
"0","13",577678.726228575,5825936.3206026
"0","13",577677.762692097,5825943.21429316
"0","13",577664.777380741,5825941.39904998
"0","13",577666.928868303,5825926.7765002
"0","13",577652.573369177,5825924.66819511
"0","13",577647.778971818,5825957.25681303
"0","13",577658.558753739,5825958.75201474
"0","14",577631.476091373,5825948.46452065
"0","14",577609.628695713,5825937.55938729
"0","14",577603.728329572,5825949.32560108
"0","14",577625.575684084,5825960.23070862
"0","14",577631.476091373,5825948.46452065
"0","15",577737.291387984,5825966.18937304
"0","15",577734.673080862,5825953.96518744
"0","15",577710.972695309,5825959.01762882
"0","15",577713.591058121,5825971.24180129
"0","15",577737.291387984,5825966.18937304
"0","16",577548.372658433,5825966.1590188
"0","16",577562.566562154,5825972.89270641
"0","16",577558.773554007,5825980.85407892
"0","16",577572.126418197,5825987.19618025
"0","16",577586.155982316,5825957.73574192
"0","16",577574.356817685,5825952.14142602
"0","16",577568.852733413,5825963.71370797
"0","16",577553.098092712,5825956.24320102
"0","16",577548.372658433,5825966.1590188
"0","17",577540.467758313,5825969.71618599
"0","17",577527.183832913,5825962.44071653
"0","17",577513.938632629,5825986.48446094
"0","17",577527.229285915,5825993.76000256
"0","17",577540.467758313,5825969.71618599
"0","18",577730.452512099,5825992.20355014
"0","18",577730.085349833,5825978.2128169
"0","18",577718.768963605,5825978.50014715
"0","18",577719.136158166,5825992.49087925
"0","18",577730.452512099,5825992.20355014
"0","19",577775.117904517,5825984.89248282
"0","19",577776.995020116,5825995.55843914
"0","19",577785.368375054,5825994.08959584
"0","19",577786.095481368,5825998.22877032
"0","19",577796.161158897,5825996.46423464
"0","19",577795.43406074,5825992.3250586
"0","19",577790.757923638,5825993.15181071
"0","19",577788.880836779,5825982.48584888
"0","19",577775.117904517,5825984.89248282
"0","20",577665.519135904,5825998.43639315
"0","20",577649.036189493,5825989.89706525
"0","20",577643.660167583,5826000.22523345
"0","20",577660.136311528,5826008.76443592
"0","20",577665.519135904,5825998.43639315
"0","21",577797.603559817,5826016.98057753
"0","21",577795.198606407,5826002.43449611
"0","21",577783.490175898,5826004.36202666
"0","21",577785.895162801,5826018.90810205
